,date,user_id,sex,age_skin_type,rate,content,product_url,dist
58,2016.12.10,유yu진jin,f,22세 · 복합성 ·,best,남자친구선물해줫는데 매우잘쓴다 그래서만족중,/product/7212,0.0013162353610589594
59,2016.11.23,타디스블루,m,32세 · 복합성 ·,good,이번에 포레스트 포맨으로 갈아탔는데 지금까진 나쁘지않네요 향도 좋구 피부도 좋아지는 느낌,/product/7212,0.002820983251673903
60,2016.10.24,워너비꿀광,m,27세 · 지성 ·,good,효과도 어느정도잇는거같고 괜춘한제품,/product/7212,0.017461719162770395
61,2016.5.13,아민,f,28세 · 건성 ·,best,군대간 남친 휴가나오더니 알아서 이거 사서 들어감 ㅋㅋㅋㅋ 남자들끼리 모여도 이게 좋다 이건별로다 이야기 하나봐요 ㅋㅋㅋ결국 남자 군인사이에선 1등인듯 ㅋㅋㅋㅋㅋ,/product/7212,0.0025897231755628303
62,2016.5.6,zzoni,f,47세 · 건성 ·,good,남성 화장품 가끔 향이 너무 강해 불호일때가 있는데 이거 쓴 남편에게서 그런 느낌은 못받았어요. 만족하며 쓰고 있어요. 재구매했고 다시 재구매 할 계획이예요.,/product/7212,0.0023627352993248474
63,2016.4.26,우어어어엉,f,31세 · 건성 ·,best,향은 대체로 남자향인데 촉촉하고 발랏을때 흡수도 잘되서 좋아요!,/product/7212,0.0038772376990171553
64,2016.3.21,브링,f,39세 · 복합성 ·,good,건성인 옆지기가 쓰기에 촉촉하고 무난하게 쓰기좋음. 제일 좋은건 향이 세지 않다는 것.  향수마냥 독한 냄새를 싫어하는 본인 취향임.  첨엔 낯설어 하더니 잘 씀.,/product/7212,0.010303468615444733
65,2016.3.7,둠칫칫둠둠칫,f,25세 · 건성 ·,good,남자스킨은 거의 대부분의 제품들이 향이 참 독한데 이건 그렇지않아요 무난무난하게 사용가능함,/product/7212,0.005803685827578953
66,2016.2.17,유지89,f,32세 · 지성 ·,best,남자친구가 너무 조아해요 산뜻하면서 촉촉하고 무엇보다도.... 간편해서 좋다곸ㅋㅋㅋㅋ,/product/7212,0.0011301902479390336
67,2016.2.12,쏭민잉,f,26세 · 복합성 ·,good,스킨로션전혀안바르시는아빠한테피부관리안하면더나이들어서주름자글자글해진다고지금부터라도기초를발라야한다면서이거랑로션사드렸는데지금거의다써간다 색깔은우유같은데ㅋㅋㅋㅋ별트러블없이무난하게쓰시는거같다,/product/7212,0.007021727918261611
68,2016.2.1,김꽁치님,f,33세 · 복합성 ·,good,남친에게 포레스트 맨 스킨케어 세트로 선물줬어요. 만족하고 잘 쓰고있습니다~,/product/7212,0.002103216664286256
69,2016.1.29,yellowfries,f,36세 · 건성 ·,good,남편이 쭉 쓰는 스킨~ 상쾌해서 좋다고함~,/product/7212,0.0010767958673288947
70,2016.1.24,찡쓰,f,32세 · 복합성 ·,good,남자친구선물해줬는데 좋아해요,/product/7212,0.0068742761317239776
71,2016.1.21,byeoli,f,29세 · 복합성 ·,best,오빠가 화장품 뭐가 좋냐고 물어보길래 인터넷에서 순위보고 세트로 사다줬는데 냄새도 독하지 않고 트러블 약간 있는 피부인데 많이 안난다고 무난하다고 지금 세트로 네번째 구매하고 있네요~ 질리지 않냐고 다른거 사보라고 해도 이게 좋다고 안바꾸거라고요~,/product/7212,0.0037540033979641674
72,2016.1.21,날애si,f,26세 · 복합성 ·,best,구닌남친이쓰는스킨&로션!! 워낙 얼굴에뭘 바르는걸 싫어해서..ㅎㅎ 근데이건향이정말좋아요!! 진하지않고 아빠스키냄시도아니고 은은하이 뽀뽀하고싶어지는향..ㅎㅎㅎ 좋아용,/product/7212,0.0022111065398917606
73,2016.1.12,슈크루바,f,24세 · 건성 ·,good,아빠께 사다드렸는데 잘 쓰시고 계시네요~ 향도괜찮구가격대비도 괜찮은거같아요!!,/product/7212,0.028669420858803196
74,2015.11.9,임새댁,f,30세 · 복합성 ·,good,남친이거쓴다 가격대비 짱,/product/7212,0.0013284927941389357
